geo_code,csd_name,topic,characteristic,total,year
5909823,SKOWKALE 11,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5909823,SKOWKALE 11,Labour Force Indicators,Employment rate,28.6,2001
5909823,SKOWKALE 11,Labour Force Indicators,Unemployment rate,0,2001
5909824,SKWAH 4,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5909824,SKWAH 4,Labour Force Indicators,Employment rate,44.8,2001
5909824,SKWAH 4,Labour Force Indicators,Unemployment rate,18.8,2001
5909825,SKWALI 3,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909825,SKWALI 3,Labour Force Indicators,Employment rate,NA,2001
5909825,SKWALI 3,Labour Force Indicators,Unemployment rate,NA,2001
5909826,SKWAY 5,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5909826,SKWAY 5,Labour Force Indicators,Employment rate,33.3,2001
5909826,SKWAY 5,Labour Force Indicators,Unemployment rate,40,2001
5909827,SOOWAHLIE 14,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5909827,SOOWAHLIE 14,Labour Force Indicators,Employment rate,41.9,2001
5909827,SOOWAHLIE 14,Labour Force Indicators,Unemployment rate,27.8,2001
5909828,SQUIAALA 7,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909828,SQUIAALA 7,Labour Force Indicators,Employment rate,NA,2001
5909828,SQUIAALA 7,Labour Force Indicators,Unemployment rate,NA,2001
5909829,SQUIAALA 8,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909829,SQUIAALA 8,Labour Force Indicators,Employment rate,NA,2001
5909829,SQUIAALA 8,Labour Force Indicators,Unemployment rate,NA,2001
5909830,TZEACHTEN 13,Income in 2000,Median total income of persons 15 years of age and over ($),15311,2001
5909830,TZEACHTEN 13,Labour Force Indicators,Employment rate,44.9,2001
5909830,TZEACHTEN 13,Labour Force Indicators,Unemployment rate,14.5,2001
5909831,YAKWEAKWIOOSE 12,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5909831,YAKWEAKWIOOSE 12,Labour Force Indicators,Employment rate,60,2001
5909831,YAKWEAKWIOOSE 12,Labour Force Indicators,Unemployment rate,50,2001
5909832,SEABIRD ISLAND,Income in 2000,Median total income of persons 15 years of age and over ($),10848,2001
5909832,SEABIRD ISLAND,Labour Force Indicators,Employment rate,45.2,2001
5909832,SEABIRD ISLAND,Labour Force Indicators,Unemployment rate,21.4,2001
5909833,SCOWLITZ 1,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909833,SCOWLITZ 1,Labour Force Indicators,Employment rate,NA,2001
5909833,SCOWLITZ 1,Labour Force Indicators,Unemployment rate,NA,2001
5909834,TSEATAH 2,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909834,TSEATAH 2,Labour Force Indicators,Employment rate,NA,2001
5909834,TSEATAH 2,Labour Force Indicators,Unemployment rate,NA,2001
5909835,AITCHELITCH 9,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909835,AITCHELITCH 9,Labour Force Indicators,Employment rate,NA,2001
5909835,AITCHELITCH 9,Labour Force Indicators,Unemployment rate,NA,2001
5909836,BOSTON BAR 1A,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909836,BOSTON BAR 1A,Labour Force Indicators,Employment rate,NA,2001
5909836,BOSTON BAR 1A,Labour Force Indicators,Unemployment rate,NA,2001
5909837,CHEAM 1,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5909837,CHEAM 1,Labour Force Indicators,Employment rate,40,2001
5909837,CHEAM 1,Labour Force Indicators,Unemployment rate,38.9,2001
5909838,SCHELOWAT 1,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909838,SCHELOWAT 1,Labour Force Indicators,Employment rate,NA,2001
5909838,SCHELOWAT 1,Labour Force Indicators,Unemployment rate,NA,2001
5909839,CHEHALIS 5,Income in 2000,Median total income of persons 15 years of age and over ($),12544,2001
5909839,CHEHALIS 5,Labour Force Indicators,Employment rate,42.9,2001
5909839,CHEHALIS 5,Labour Force Indicators,Unemployment rate,30.8,2001
5909840,SWAHLISEAH 14,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909840,SWAHLISEAH 14,Labour Force Indicators,Employment rate,NA,2001
5909840,SWAHLISEAH 14,Labour Force Indicators,Unemployment rate,NA,2001
5909841,STULLAWHEETS 8,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909841,STULLAWHEETS 8,Labour Force Indicators,Employment rate,NA,2001
5909841,STULLAWHEETS 8,Labour Force Indicators,Unemployment rate,NA,2001
5909842,DOUGLAS 8,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5909842,DOUGLAS 8,Labour Force Indicators,Employment rate,42.9,2001
5909842,DOUGLAS 8,Labour Force Indicators,Unemployment rate,0,2001
5909843,PETERS 1,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5909843,PETERS 1,Labour Force Indicators,Employment rate,66.7,2001
5909843,PETERS 1,Labour Force Indicators,Unemployment rate,0,2001
5909844,POPKUM 1,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909844,POPKUM 1,Labour Force Indicators,Employment rate,NA,2001
5909844,POPKUM 1,Labour Force Indicators,Unemployment rate,NA,2001
5909845,SKOOKUMCHUCK 4,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5909845,SKOOKUMCHUCK 4,Labour Force Indicators,Employment rate,33.3,2001
5909845,SKOOKUMCHUCK 4,Labour Force Indicators,Unemployment rate,60,2001
5909846,FRANKS 10,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909846,FRANKS 10,Labour Force Indicators,Employment rate,NA,2001
5909846,FRANKS 10,Labour Force Indicators,Unemployment rate,NA,2001
5909847,BUCKTUM 4,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909847,BUCKTUM 4,Labour Force Indicators,Employment rate,NA,2001
5909847,BUCKTUM 4,Labour Force Indicators,Unemployment rate,NA,2001
5909848,TIPELLA 7,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909848,TIPELLA 7,Labour Force Indicators,Employment rate,NA,2001
5909848,TIPELLA 7,Labour Force Indicators,Unemployment rate,NA,2001
5909849,SKWAHLA 2,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909849,SKWAHLA 2,Labour Force Indicators,Employment rate,NA,2001
5909849,SKWAHLA 2,Labour Force Indicators,Unemployment rate,NA,2001
5909852,BAPTISTE SMITH 1A,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909852,BAPTISTE SMITH 1A,Labour Force Indicators,Employment rate,NA,2001
5909852,BAPTISTE SMITH 1A,Labour Force Indicators,Unemployment rate,NA,2001
5909855,SACHTEEN 2,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909855,SACHTEEN 2,Labour Force Indicators,Employment rate,NA,2001
5909855,SACHTEEN 2,Labour Force Indicators,Unemployment rate,NA,2001
5909860,SACHTEEN 2A,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909860,SACHTEEN 2A,Labour Force Indicators,Employment rate,NA,2001
5909860,SACHTEEN 2A,Labour Force Indicators,Unemployment rate,NA,2001
5909865,SAMAHQUAM 1,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909865,SAMAHQUAM 1,Labour Force Indicators,Employment rate,NA,2001
5909865,SAMAHQUAM 1,Labour Force Indicators,Unemployment rate,NA,2001
5909870,KUTHLALTH 3,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909870,KUTHLALTH 3,Labour Force Indicators,Employment rate,NA,2001
5909870,KUTHLALTH 3,Labour Force Indicators,Unemployment rate,NA,2001
5909875,BAPTISTE SMITH 1B,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5909875,BAPTISTE SMITH 1B,Labour Force Indicators,Employment rate,57.1,2001
5909875,BAPTISTE SMITH 1B,Labour Force Indicators,Unemployment rate,40,2001
5909876,ALBERT FLAT 5,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5909876,ALBERT FLAT 5,Labour Force Indicators,Employment rate,NA,2001
5909876,ALBERT FLAT 5,Labour Force Indicators,Unemployment rate,NA,2001
5909877,UPPER SUMAS 6,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5909877,UPPER SUMAS 6,Labour Force Indicators,Employment rate,50,2001
5909877,UPPER SUMAS 6,Labour Force Indicators,Unemployment rate,23.5,2001
5909878,MATSQUI MAIN 2,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5909878,MATSQUI MAIN 2,Labour Force Indicators,Employment rate,30,2001
5909878,MATSQUI MAIN 2,Labour Force Indicators,Unemployment rate,40,2001
5909879,HOLACHTEN 8,Income in 2000,Median total income of persons 15 years of age and over ($),19411,2001
5909879,HOLACHTEN 8,Labour Force Indicators,Employment rate,57.1,2001
5909879,HOLACHTEN 8,Labour Force Indicators,Unemployment rate,12.9,2001
5909880,LAKAHAHMEN 11,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5909880,LAKAHAHMEN 11,Labour Force Indicators,Employment rate,29,2001
5909880,LAKAHAHMEN 11,Labour Force Indicators,Unemployment rate,23.1,2001
5909881,SKWEAHM 10,Income in 2000,Median total income of persons 15 years of age and over ($),20236,2001
5909881,SKWEAHM 10,Labour Force Indicators,Employment rate,42.5,2001
5909881,SKWEAHM 10,Labour Force Indicators,Unemployment rate,15,2001
5909882,SQUAWKUM CREEK 3,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5909882,SQUAWKUM CREEK 3,Labour Force Indicators,Employment rate,41.7,2001
5909882,SQUAWKUM CREEK 3,Labour Force Indicators,Unemployment rate,42.9,2001
5915001,LANGLEY,Income in 2000,Median total income of persons 15 years of age and over ($),26432,2001
5915001,LANGLEY,Labour Force Indicators,Employment rate,68.1,2001
5915001,LANGLEY,Labour Force Indicators,Unemployment rate,5.1,2001
5915002,LANGLEY,Income in 2000,Median total income of persons 15 years of age and over ($),23286,2001
5915002,LANGLEY,Labour Force Indicators,Employment rate,61.1,2001
5915002,LANGLEY,Labour Force Indicators,Unemployment rate,7.2,2001
5915004,SURREY,Income in 2000,Median total income of persons 15 years of age and over ($),22458,2001
5915004,SURREY,Labour Force Indicators,Employment rate,62,2001
5915004,SURREY,Labour Force Indicators,Unemployment rate,7.4,2001
5915007,WHITE ROCK,Income in 2000,Median total income of persons 15 years of age and over ($),27448,2001
5915007,WHITE ROCK,Labour Force Indicators,Employment rate,56,2001
5915007,WHITE ROCK,Labour Force Indicators,Unemployment rate,4.9,2001
5915011,DELTA,Income in 2000,Median total income of persons 15 years of age and over ($),28017,2001
5915011,DELTA,Labour Force Indicators,Employment rate,65.4,2001
5915011,DELTA,Labour Force Indicators,Unemployment rate,5.4,2001
5915015,RICHMOND,Income in 2000,Median total income of persons 15 years of age and over ($),20297,2001
5915015,RICHMOND,Labour Force Indicators,Employment rate,58.8,2001
5915015,RICHMOND,Labour Force Indicators,Unemployment rate,7.2,2001
5915020,GREATER VANCOUVER A,Income in 2000,Median total income of persons 15 years of age and over ($),20714,2001
5915020,GREATER VANCOUVER A,Labour Force Indicators,Employment rate,56.9,2001
5915020,GREATER VANCOUVER A,Labour Force Indicators,Unemployment rate,11.4,2001
5915022,VANCOUVER,Income in 2000,Median total income of persons 15 years of age and over ($),20988,2001
5915022,VANCOUVER,Labour Force Indicators,Employment rate,59.7,2001
5915022,VANCOUVER,Labour Force Indicators,Unemployment rate,8.3,2001
5915025,BURNABY,Income in 2000,Median total income of persons 15 years of age and over ($),20724,2001
5915025,BURNABY,Labour Force Indicators,Employment rate,57.3,2001
5915025,BURNABY,Labour Force Indicators,Unemployment rate,8.3,2001
5915029,NEW WESTMINSTER,Income in 2000,Median total income of persons 15 years of age and over ($),24763,2001
5915029,NEW WESTMINSTER,Labour Force Indicators,Employment rate,61.8,2001
5915029,NEW WESTMINSTER,Labour Force Indicators,Unemployment rate,7.7,2001
5915034,COQUITLAM,Income in 2000,Median total income of persons 15 years of age and over ($),24945,2001
5915034,COQUITLAM,Labour Force Indicators,Employment rate,62.5,2001
5915034,COQUITLAM,Labour Force Indicators,Unemployment rate,7,2001
5915036,BELCARRA,Income in 2000,Median total income of persons 15 years of age and over ($),38734,2001
5915036,BELCARRA,Labour Force Indicators,Employment rate,69.6,2001
5915036,BELCARRA,Labour Force Indicators,Unemployment rate,3.7,2001
5915038,ANMORE,Income in 2000,Median total income of persons 15 years of age and over ($),31115,2001
5915038,ANMORE,Labour Force Indicators,Employment rate,75.5,2001
5915038,ANMORE,Labour Force Indicators,Unemployment rate,5.1,2001
5915039,PORT COQUITLAM,Income in 2000,Median total income of persons 15 years of age and over ($),26728,2001
5915039,PORT COQUITLAM,Labour Force Indicators,Employment rate,68,2001
5915039,PORT COQUITLAM,Labour Force Indicators,Unemployment rate,6.4,2001
5915043,PORT MOODY,Income in 2000,Median total income of persons 15 years of age and over ($),30981,2001
5915043,PORT MOODY,Labour Force Indicators,Employment rate,69.2,2001
5915043,PORT MOODY,Labour Force Indicators,Unemployment rate,5.7,2001
5915046,NORTH VANCOUVER,Income in 2000,Median total income of persons 15 years of age and over ($),29613,2001
5915046,NORTH VANCOUVER,Labour Force Indicators,Employment rate,66.3,2001
5915046,NORTH VANCOUVER,Labour Force Indicators,Unemployment rate,5.1,2001
5915051,NORTH VANCOUVER,Income in 2000,Median total income of persons 15 years of age and over ($),25326,2001
5915051,NORTH VANCOUVER,Labour Force Indicators,Employment rate,66.2,2001
5915051,NORTH VANCOUVER,Labour Force Indicators,Unemployment rate,7,2001
5915055,WEST VANCOUVER,Income in 2000,Median total income of persons 15 years of age and over ($),32309,2001
5915055,WEST VANCOUVER,Labour Force Indicators,Employment rate,54.7,2001
5915055,WEST VANCOUVER,Labour Force Indicators,Unemployment rate,5.3,2001
5915062,BOWEN ISLAND,Income in 2000,Median total income of persons 15 years of age and over ($),30213,2001
5915062,BOWEN ISLAND,Labour Force Indicators,Employment rate,71.7,2001
5915062,BOWEN ISLAND,Labour Force Indicators,Unemployment rate,4.9,2001
5915065,LIONS BAY,Income in 2000,Median total income of persons 15 years of age and over ($),38944,2001
5915065,LIONS BAY,Labour Force Indicators,Employment rate,70.7,2001
5915065,LIONS BAY,Labour Force Indicators,Unemployment rate,4.1,2001
5915070,PITT MEADOWS,Income in 2000,Median total income of persons 15 years of age and over ($),26920,2001
5915070,PITT MEADOWS,Labour Force Indicators,Employment rate,66.9,2001
5915070,PITT MEADOWS,Labour Force Indicators,Unemployment rate,6.5,2001
5915075,MAPLE RIDGE,Income in 2000,Median total income of persons 15 years of age and over ($),26004,2001
5915075,MAPLE RIDGE,Labour Force Indicators,Employment rate,64.9,2001
5915075,MAPLE RIDGE,Labour Force Indicators,Unemployment rate,6.2,2001
5915801,SEMIAHMOO,Income in 2000,Median total income of persons 15 years of age and over ($),0,2001
5915801,SEMIAHMOO,Labour Force Indicators,Employment rate,50,2001
5915801,SEMIAHMOO,Labour Force Indicators,Unemployment rate,23.1,2001
5915802,TSAWWASSEN,Income in 2000,Median total income of persons 15 years of age and over ($),29993,2001
5915802,TSAWWASSEN,Labour Force Indicators,Employment rate,66.7,2001
5915802,TSAWWASSEN,Labour Force Indicators,Unemployment rate,5.5,2001
5915803,MUSQUEAM 2,Income in 2000,Median total income of persons 15 years of age and over ($),25249,2001
5915803,MUSQUEAM 2,Labour Force Indicators,Employment rate,51.2,2001
5915803,MUSQUEAM 2,Labour Force Indicators,Unemployment rate,9.2,2001
5915804,COQUITLAM 2,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5915804,COQUITLAM 2,Labour Force Indicators,Employment rate,NA,2001
5915804,COQUITLAM 2,Labour Force Indicators,Unemployment rate,NA,2001
5915805,COQUITLAM 1,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5915805,COQUITLAM 1,Labour Force Indicators,Employment rate,NA,2001
5915805,COQUITLAM 1,Labour Force Indicators,Unemployment rate,NA,2001
5915806,BURRARD INLET 3,Income in 2000,Median total income of persons 15 years of age and over ($),38437,2001
5915806,BURRARD INLET 3,Labour Force Indicators,Employment rate,72.3,2001
5915806,BURRARD INLET 3,Labour Force Indicators,Unemployment rate,8,2001
5915807,MISSION 1,Income in 2000,Median total income of persons 15 years of age and over ($),NA,2001
5915807,MISSION 1,Labour Force Indicators,Employment rate,NA,2001
5915807,MISSION 1,Labour Force Indicators,Unemployment rate,NA,2001
5915808,CAPILANO 5,Income in 2000,Median total income of persons 15 years of age and over ($),19682,2001
